Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,file
tech.tablesaw.plotly.api,TimeSeriesPlot,15.0,0.0,6.0,6.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/TimeSeriesPlot.java'
tech.tablesaw.aggregate,BooleanDoubleAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanDoubleAggregateFunction.java'
tech.tablesaw.plotly.api,Heatmap,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/Heatmap.java'
tech.tablesaw.io.jsonl,JsonlWriteOptions,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/json/src/main/java/tech/tablesaw/io/jsonl/JsonlWriteOptions.java'
tech.tablesaw.plotly.components.change,Decreasing,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/change/Decreasing.java'
tech.tablesaw.plotly.components.change,Increasing,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/change/Increasing.java'
tech.tablesaw.plotly.display,Browser,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/display/Browser.java'
tech.tablesaw.aggregate,AnyIntAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/AnyIntAggregateFunction.java'
tech.tablesaw.filtering,DeferredNumberColumn,210.0,0.0,21.0,21.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredNumberColumn.java'
tech.tablesaw.columns.times,TimeColumnFormatter,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/times/TimeColumnFormatter.java'
tech.tablesaw.io.saw,SawUtils,1.0,0.0,2.0,2.0,1.8,1.0,'tablesaw/saw/src/main/java/tech/tablesaw/io/saw/SawUtils.java'
tech.tablesaw.columns.strings,StringParser,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/StringParser.java'
tech.tablesaw.util,DoubleArrays,15.0,0.0,6.0,6.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/util/DoubleArrays.java'
tech.tablesaw.filtering,DeferredDateTimeColumn,1176.0,0.0,49.0,49.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredDateTimeColumn.java'
tech.tablesaw.filtering,DeferredInstantColumn,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredInstantColumn.java'
tech.tablesaw.sorting,SortUtils,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/sorting/SortUtils.java'
tech.tablesaw.filtering,DeferredStringColumn,276.0,0.0,24.0,24.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredStringColumn.java'
tech.tablesaw.filtering,DeferredTimeColumn,105.0,0.0,15.0,15.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredTimeColumn.java'
